epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,30827.7,1.58259,1.72361,1.6467,0.45912,0.39696,0.39767,0.18909,1.80784,1.80203,1.85112,0.000848969,0.000848969,0.000848969
43,31559.4,1.57164,1.71164,1.63963,0.46611,0.41668,0.40802,0.19075,1.81486,1.80882,1.84408,0.000834822,0.000834822,0.000834822
44,32290.4,1.57121,1.69878,1.63755,0.4812,0.4044,0.40586,0.19442,1.78365,1.8063,1.81341,0.000820675,0.000820675,0.000820675
45,33021.6,1.58214,1.70979,1.6435,0.47642,0.3961,0.39762,0.19456,1.801,1.80261,1.84139,0.000806528,0.000806528,0.000806528
46,33747.2,1.57064,1.70168,1.63433,0.47375,0.39838,0.40526,0.19682,1.78026,1.77899,1.82584,0.00079238,0.00079238,0.00079238
47,34476.3,1.55795,1.68064,1.62142,0.49941,0.39409,0.41278,0.19675,1.80479,1.77565,1.82366,0.000778233,0.000778233,0.000778233
48,35206.2,1.57082,1.68203,1.63527,0.50203,0.40645,0.42177,0.20215,1.80361,1.77323,1.84201,0.000764086,0.000764086,0.000764086
49,35931.6,1.55835,1.6712,1.62235,0.49109,0.41395,0.41717,0.20253,1.78943,1.76468,1.82571,0.000749939,0.000749939,0.000749939
50,36660.9,1.54085,1.65855,1.62074,0.50333,0.41296,0.41658,0.19894,1.79346,1.76615,1.83637,0.000735792,0.000735792,0.000735792
51,37383.1,1.5464,1.66124,1.61282,0.48255,0.41318,0.41591,0.2011,1.78489,1.73772,1.83077,0.000721645,0.000721645,0.000721645
52,38108.4,1.55376,1.64655,1.6207,0.48439,0.41793,0.41362,0.20012,1.77868,1.74808,1.83016,0.000707498,0.000707498,0.000707498
53,38830.5,1.54395,1.64694,1.61763,0.48827,0.41759,0.42302,0.2017,1.78584,1.7547,1.82442,0.000693351,0.000693351,0.000693351
54,39549.9,1.54483,1.63701,1.60894,0.4877,0.40619,0.40811,0.19698,1.7866,1.76544,1.83483,0.000679204,0.000679204,0.000679204
55,40275.7,1.54854,1.62943,1.61414,0.50936,0.41394,0.41565,0.20069,1.78124,1.73551,1.82943,0.000665057,0.000665057,0.000665057
56,41004.5,1.53811,1.63214,1.61189,0.48877,0.42236,0.42637,0.20748,1.77952,1.73274,1.82164,0.000650909,0.000650909,0.000650909
57,41726.7,1.53745,1.60857,1.60595,0.49098,0.42542,0.42874,0.20746,1.78439,1.71289,1.81777,0.000636762,0.000636762,0.000636762
58,42456,1.53512,1.62121,1.59907,0.50297,0.42844,0.42968,0.20586,1.78736,1.72389,1.81306,0.000622615,0.000622615,0.000622615
59,43183.5,1.52642,1.60828,1.593,0.48894,0.41818,0.42733,0.2077,1.775,1.70658,1.81689,0.000608468,0.000608468,0.000608468
60,43914.8,1.51518,1.58573,1.59468,0.50787,0.41396,0.42603,0.20689,1.78595,1.70769,1.82827,0.000594321,0.000594321,0.000594321
61,44647.1,1.5256,1.60065,1.59493,0.50732,0.4253,0.43086,0.20738,1.77843,1.71939,1.82305,0.000580174,0.000580174,0.000580174
62,45375,1.51655,1.57342,1.58855,0.52714,0.40933,0.42739,0.20881,1.77895,1.70801,1.81924,0.000566027,0.000566027,0.000566027
63,46106.5,1.51307,1.5699,1.59348,0.50886,0.43136,0.43276,0.20928,1.79,1.69768,1.8303,0.00055188,0.00055188,0.00055188
64,46836.3,1.52024,1.57205,1.59164,0.49837,0.43375,0.42932,0.20928,1.78897,1.69729,1.83012,0.000537733,0.000537733,0.000537733
65,47561.6,1.50573,1.56687,1.58081,0.51001,0.41629,0.43531,0.21046,1.78854,1.70447,1.83033,0.000523586,0.000523586,0.000523586
66,48290.6,1.50132,1.5586,1.57759,0.50303,0.4206,0.42899,0.20983,1.78946,1.69593,1.82988,0.000509438,0.000509438,0.000509438
67,49020.7,1.49817,1.55053,1.57928,0.49843,0.42204,0.43025,0.2083,1.78761,1.70013,1.83083,0.000495291,0.000495291,0.000495291
68,49742.5,1.4998,1.54539,1.57844,0.51292,0.42585,0.43902,0.21154,1.7908,1.68353,1.83058,0.000481144,0.000481144,0.000481144
69,50464.5,1.50187,1.53703,1.57028,0.51628,0.41529,0.43258,0.21135,1.78528,1.68994,1.82252,0.000466997,0.000466997,0.000466997
70,51192.6,1.48782,1.50667,1.55916,0.49294,0.43104,0.43412,0.20945,1.79223,1.69017,1.82594,0.00045285,0.00045285,0.00045285
71,51923,1.48814,1.51485,1.56431,0.51596,0.42268,0.43426,0.20961,1.79233,1.68391,1.82619,0.000438703,0.000438703,0.000438703
72,52644.4,1.49067,1.50477,1.56459,0.52995,0.41244,0.43223,0.20894,1.78403,1.69238,1.82557,0.000424556,0.000424556,0.000424556
73,53372.9,1.47953,1.5024,1.55766,0.51527,0.42347,0.43241,0.20942,1.7939,1.68109,1.82451,0.000410409,0.000410409,0.000410409
